Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,area,avg_power,sum_power,Throughput_per_watt_area,Throughput_per_watt_avg,Throughput_per_watt_sum
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,256,1,1.6017080049496144,319.6587632813299,,766287.2857142857,,,0.0004171526387565778,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,512,1,3.1843032700708136,321.57741055148557,,765397.3076923077,,,0.0004201444234512003,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,1024,1,6.485355137032457,315.7884120031576,,775617.2307692308,,,0.0004071446577972093,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,2048,1,13.249906062963419,309.13426710618546,,775317.3018867924,,,0.00039871968077312886,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,128,16,1.0178410590160638,4024.203940013542,,791008.2,,,0.005087436438729134,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,256,16,2.1182075979886577,3867.4207418473557,,845348.1111111111,,,0.004574944559542558,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,512,16,4.412352034007199,3713.2123352180533,,814465.8888888889,,,0.0045590765505031695,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,128,32,1.2788507619407028,6405.751354105103,,886219.3333333334,,,0.007228178299847256,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,256,32,2.639596730004996,6207.0087501468415,,865159.1818181818,,,0.007174412386287638,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,512,32,5.64603001892101,5803.724013189388,,859822.7391304348,,,0.006749907567063035,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,128,1,0.6560886889928952,390.1911499083506,,858312.6666666666,,,0.0004546025767319648,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,256,1,1.470096223987639,348.2765220709152,,807178.0,,,0.00043147424988158146,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,512,1,2.4953476740047336,410.3636582058335,,846225.7,,,0.00048493405270701834,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,1024,1,4.9757535989629105,411.5959440650079,,849476.45,,,0.0004845289637693993,
