Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,128,32,6.983764410018921,1173.0063500205908
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,128,64,9.080816268920898,1804.2430894758056
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,256,1,10.176278591156006,50.313087973531765
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,256,16,12.489599466323853,655.9057415802947
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,256,32,14.183539867401123,1155.1418160184628
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,256,64,18.941959381103516,1729.9160736607498
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,512,1,20.462995767593384,50.041548736557786
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,512,16,25.50246834754944,642.4476163137501
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,512,32,30.479496717453003,1075.083368461152
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,512,64,64.55778241157532,1015.1525896938072
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,1024,1,42.703760385513306,47.95830581455673
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,1024,16,54.89734935760498,596.8958498623872
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,1024,32,82.52840995788574,794.1022980261346
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,1024,64,169.8891623020172,771.5147818963828
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,2048,1,93.88858819007874,43.62617522491223
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,2048,16,171.45820832252502,382.22725316668505
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,2048,32,319.2098708152771,410.6138687542334
